raw_material,submitted_taxon,wd_taxon_id,organ,broad_organ,tissue,subsystem
V114422GP-01,Prismatomeris tetrandra,Q15489104,leaves,photosynthetic,green_tissue,aboveground
V114367GP-01,Talipariti tiliaceum,Q715899,green_stems,green_vegetative,green_tissue,aboveground
V114441GP-01,Sterculia pexa,Q10950986,fruits,reproductive,green_tissue,aboveground
V114366GP-01,Talipariti tiliaceum,Q715899,leaves,photosynthetic,green_tissue,aboveground
V114377GP-01,Licuala spinosa,Q5227738,leaves,photosynthetic,green_tissue,aboveground
V114443GP-01,Streptocaulon juventas,Q11090363,multiple,roots,root_tissue,belowground
V114381GP-01,Limonia acidissima,Q935616,green_stems,green_vegetative,green_tissue,aboveground
V114376GP-01,Leucaena leucocephala,Q35905,fruits,reproductive,green_tissue,aboveground
V114396GP-01,Melochia umbellata,Q6813281,green_stems,green_vegetative,green_tissue,aboveground
V114420GP-01,Portulaca oleracea,Q158015,multiple,multiple,multiple,unkown
V114409GP-01,Afzelia xylocarpa,Q142075,leaves,photosynthetic,green_tissue,aboveground
V114394GP-01,Melastoma saigonense,Q15392997,leaves,photosynthetic,green_tissue,aboveground
V114412GP-01,Afzelia xylocarpa,Q142075,fruits,reproductive,green_tissue,aboveground
V114384GP-01,Lithocarpus elegans,Q15317577,green_stems,green_vegetative,green_tissue,aboveground
V114382GP-01,Limonia acidissima,Q935616,fruits,reproductive,green_tissue,aboveground
V114370GP-01,Hydnophytum formicarum,Q1640090,multiple,multiple,multiple,unkown
V114391GP-01,Markhamia stipulata,Q15550965,leaves,photosynthetic,green_tissue,aboveground
V114418GP-01,Pithecellobium dulce,Q15248750,leaves,photosynthetic,green_tissue,aboveground
V114395GP-01,Melastoma saigonense,Q15392997,green_stems,green_vegetative,green_tissue,aboveground
V114373GP-01,Knema globularia,Q5399660,green_stems,green_vegetative,green_tissue,aboveground
V114403GP-01,Mussaenda cambodiana,Q15476044,leaves,photosynthetic,green_tissue,aboveground
V114372GP-01,Hymenocardia punctata,Q15514019,leaves,photosynthetic,green_tissue,aboveground
V114417GP-01,Phyllanthus emblica,Q310050,fruits,reproductive,green_tissue,aboveground
V114410GP-01,Afzelia xylocarpa,Q142075,bark,woody_vegetative,woody_tissue,aboveground
V114424GP-01,Pterocarpus macrocarpus,Q310157,leaves,photosynthetic,green_tissue,aboveground
V114389GP-01,Manilkara zapota,Q14959,green_stems,green_vegetative,green_tissue,aboveground
V114415GP-01,Parameria laevigata,Q15225303,leaves,photosynthetic,green_tissue,aboveground
V114413GP-01,Afzelia xylocarpa,Q142075,fruits,reproductive,green_tissue,aboveground
V114392GP-01,Markhamia stipulata,Q15550965,bark,woody_vegetative,woody_tissue,aboveground
V114436GP-01,Solanum americanum,Q2729601,multiple,multiple,multiple,aboveground
V114440GP-01,Stephania venosa,Q13021990,multiple,roots,root_tissue,belowground
V114429GP-01,Schefflera littorea,Q15558710,green_stems,green_vegetative,green_tissue,aboveground
V114423GP-01,Prismatomeris tetrandra,Q15489104,multiple,roots,root_tissue,belowground
V114369GP-01,Holarrhena pubescens,Q9096302,bark,woody_vegetative,woody_tissue,aboveground
V114419GP-01,Pithecellobium dulce,Q15248750,bark,woody_vegetative,woody_tissue,aboveground
V114368GP-01,Holarrhena curtisii,Q15357096,multiple,roots,root_tissue,belowground
V114383GP-01,Litchi chinensis,Q13182,flowers,reproductive,green_tissue,aboveground
V114364GP-01,Hibiscus sabdariffa,Q319390,leaves,photosynthetic,green_tissue,aboveground
V114407GP-01,Ochna integerrima,Q385214,flowers,reproductive,green_tissue,aboveground
V114388GP-01,Mangifera duperreana,Q18082502,bark,woody_vegetative,woody_tissue,aboveground
V114380GP-01,Limonia acidissima,Q935616,leaves,photosynthetic,green_tissue,aboveground
V114397GP-01,Melochia umbellata,Q6813281,leaves,photosynthetic,green_tissue,aboveground
V114401GP-01,Morinda citrifolia,Q234238,green_stems,green_vegetative,green_tissue,aboveground
V114402GP-01,Mussaenda cambodiana,Q15476044,green_stems,green_vegetative,green_tissue,aboveground
V114439GP-01,Spondias pinnata,Q9395416,fruits,reproductive,green_tissue,aboveground
V114405GP-01,Ochna integerrima,Q385214,leaves,photosynthetic,green_tissue,aboveground
V114430GP-01,Schefflera littorea,Q15558710,leaves,photosynthetic,green_tissue,aboveground
V114400GP-01,Morinda citrifolia,Q234238,leaves,photosynthetic,green_tissue,aboveground
V114406GP-01,Ochna integerrima,Q385214,green_stems,green_vegetative,green_tissue,aboveground
V114393GP-01,Melastoma saigonense,Q15392997,multiple,roots,root_tissue,belowground
V114427GP-01,Rhizophora apiculata,Q920906,leaves,photosynthetic,green_tissue,aboveground
V114365GP-01,Hibiscus sabdariffa,Q319390,green_stems,green_vegetative,green_tissue,aboveground
V114421GP-01,Prismatomeris tetrandra,Q15489104,green_stems,green_vegetative,green_tissue,aboveground
V114404GP-01,Nauclea officinalis,Q10763503,bark,woody_vegetative,woody_tissue,aboveground
V114428GP-01,Sambucus canadensis,Q21877280,multiple,multiple,multiple,aboveground
V114437GP-01,Solanum sakhanii,Q93212539,multiple,multiple,multiple,unkown
V114390GP-01,Manilkara zapota,Q14959,leaves,photosynthetic,green_tissue,aboveground
V114425GP-01,Pterocarpus macrocarpus,Q310157,green_stems,green_vegetative,green_tissue,aboveground
V114442GP-01,Streptocaulon juventas,Q11090363,multiple,multiple,multiple,aboveground
V114371GP-01,Hydnophytum formicarum,Q1640090,green_stems,green_vegetative,green_tissue,aboveground
V114398GP-01,Memecylon acuminatum,Q17585611,leaves,photosynthetic,green_tissue,aboveground
V114414GP-01,Parameria laevigata,Q15225303,green_stems,green_vegetative,green_tissue,aboveground
V114411GP-01,Afzelia xylocarpa,Q142075,fruits,reproductive,green_tissue,aboveground
V114387GP-01,Mangifera duperreana,Q18082502,leaves,photosynthetic,green_tissue,aboveground
V114438GP-01,Spirolobium cambodianum,Q15613616,multiple,multiple,multiple,unkown
V114399GP-01,Memecylon acuminatum,Q17585611,green_stems,green_vegetative,green_tissue,aboveground
V114375GP-01,Knema globularia,Q5399660,bark,woody_vegetative,woody_tissue,aboveground
V114432GP-01,Sesbania javanica,Q11142855,leaves,photosynthetic,green_tissue,aboveground
V114386GP-01,Ludwigia adscendens,Q11130835,multiple,multiple,multiple,unkown
V114433GP-01,Sesbania javanica,Q11142855,green_stems,green_vegetative,green_tissue,aboveground
V114385GP-01,Lithocarpus elegans,Q15317577,leaves,photosynthetic,green_tissue,aboveground
V114378GP-01,Licuala spinosa,Q5227738,green_stems,green_vegetative,green_tissue,aboveground
V114426GP-01,Rhizophora apiculata,Q920906,green_stems,green_vegetative,green_tissue,aboveground
V114434GP-01,Shorea roxburghii,Q1329892,bark,woody_vegetative,woody_tissue,aboveground
V114379GP-01,Licuala spinosa,Q5227738,multiple,roots,root_tissue,belowground
V114435GP-01,Shorea roxburghii,Q1329892,leaves,photosynthetic,green_tissue,aboveground
V114431GP-01,Schleichera oleosa,Q13094301,bark,woody_vegetative,woody_tissue,aboveground
V114416GP-01,Peliosanthes weberi,Q15523276,multiple,multiple,multiple,unkown
V114374GP-01,Knema globularia,Q5399660,leaves,photosynthetic,green_tissue,aboveground
V114358GP-01,Garcinia vilersiana,Q15386510,leaves,photosynthetic,green_tissue,aboveground
V114316GP-01,Dillenia obovata,Q17398382,bark,woody_vegetative,woody_tissue,aboveground
V114334GP-01,Erythrina fusca,Q1247964,bark,woody_vegetative,woody_tissue,aboveground
V114325GP-01,Dischidia nummularia,Q15397553,multiple,multiple,multiple,aboveground
V114359GP-01,Garcinia vilersiana,Q15386510,green_stems,green_vegetative,green_tissue,aboveground
V114313GP-01,Desmos lomentaceus,,green_stems,green_vegetative,green_tissue,aboveground
V114308GP-01,Dendrolobium ursinum,Q15532771,green_stems,green_vegetative,green_tissue,aboveground
V114288GP-01,Connarus semidecandrus,Q15583684,leaves,photosynthetic,green_tissue,aboveground
V114298GP-01,Cycas siamensis,Q6855658,leaves,photosynthetic,green_tissue,aboveground
V114292GP-01,Coscinium fenestratum,Q13113872,green_stems,green_vegetative,green_tissue,aboveground
V114338GP-01,Euonymus indicus,Q160578,leaves,photosynthetic,green_tissue,aboveground
V114345GP-01,Ficus hirta,Q15224195,leaves,photosynthetic,green_tissue,aboveground
V114360GP-01,Gardenia obtusifolia,Q15455499,leaves,photosynthetic,green_tissue,aboveground
V114319GP-01,Dioscorea hispida,Q10752741,multiple,multiple,multiple,aboveground
