raw_material,submitted_taxon,wd_taxon_id,organ,broad_organ,tissue,subsystem
V114233GP-01,Atalantia citroides,Q15388338,leaves,photosynthetic,green_tissue,aboveground
V114243GP-01,Bauhinia pulla,Q15460723,green_stems,green_vegetative,green_tissue,aboveground
V114217GP-01,Ziziphus mauritiana,Q327859,bark,woody_vegetative,woody_tissue,aboveground
V114235GP-01,Avicennia marina,Q312094,leaves,photosynthetic,green_tissue,aboveground
V114267GP-01,Casearia grewiifolia,Q18119727,leaves,photosynthetic,green_tissue,aboveground
V114219GP-01,Ziziphus mauritiana,Q327859,multiple,roots,root_tissue,belowground
V114252GP-01,Mangifera altissima,Q15539322,green_stems,green_vegetative,green_tissue,aboveground
V114211GP-01,Zanthoxylum decaryi,Q18082569,leaves,photosynthetic,green_tissue,aboveground
V114263GP-01,Canarium luzonicum,Q5157337,green_stems,green_vegetative,green_tissue,aboveground
V114156GP-01,Stephanotis floribunda,Q1786657,leaves,photosynthetic,green_tissue,aboveground
V114128GP-01,Salvadora angustifolia,Q15420085,bark,woody_vegetative,woody_tissue,aboveground
V114124GP-01,Psiadia glutinosa,Q15599476,green_stems,green_vegetative,green_tissue,aboveground
V114157GP-01,Stephanotis floribunda,Q1786657,fruits,reproductive,green_tissue,aboveground
V114115GP-01,Psiadia altissima,Q3409947,flowers,reproductive,green_tissue,aboveground
V114123GP-01,Psiadia glutinosa,Q15599476,multiple,roots,root_tissue,belowground
V114170GP-01,Strychnos spinosa,Q2704877,seeds,reproductive,green_tissue,aboveground
V114137GP-01,Secamone ligustrifolia,Q18078946,green_stems,green_vegetative,green_tissue,aboveground
V114120GP-01,Psiadia angustifolia,Q15600075,green_stems,green_vegetative,green_tissue,aboveground
V114133GP-01,Schefflera arboricola,Q137455,seeds,reproductive,green_tissue,aboveground
V114183GP-01,Turraea sericea,Q15526989,leaves,photosynthetic,green_tissue,aboveground
V114125GP-01,Rauvolfia media,Q14861848,roots,roots,root_tissue,belowground
V114161GP-01,Strychnos decussata,Q13035119,bark,woody_vegetative,woody_tissue,aboveground
V114134GP-01,Schefflera arboricola,Q137455,green_stems,green_vegetative,green_tissue,aboveground
V114172GP-01,Strychnos spinosa,Q2704877,green_stems,green_vegetative,green_tissue,aboveground
V114180GP-01,Vepris unifoliolata,Q15394929,green_stems,green_vegetative,green_tissue,aboveground
V114159GP-01,Stephanotis floribunda,Q1786657,green_stems,green_vegetative,green_tissue,aboveground
V114144GP-01,Solanum melongena,Q7540,fruits,reproductive,green_tissue,aboveground
V114175GP-01,Tambourissa castri-delphinii,Q18075981,leaves,photosynthetic,green_tissue,aboveground
V114193GP-01,Uncarina stellulifera,Q17715850,leaves,photosynthetic,green_tissue,aboveground
V114160GP-01,Stereospermum variabile,Q15552104,leaves,photosynthetic,green_tissue,aboveground
V114167GP-01,Strychnos madagascariensis,Q13034408,fruits,reproductive,green_tissue,aboveground
V114177GP-01,Tambourissa castri-delphinii,Q18075981,green_stems,green_vegetative,green_tissue,aboveground
V114196GP-01,Laportea oligoloba,Q15610074,multiple,multiple,multiple,unkown
V114190GP-01,Uncarina grandidieri,Q3549194,leaves,photosynthetic,green_tissue,aboveground
V114168GP-01,Strychnos spinosa,Q2704877,bark,woody_vegetative,woody_tissue,aboveground
V114117GP-01,Psiadia angustifolia,Q15600075,leaves,photosynthetic,green_tissue,aboveground
V114185GP-01,Typhonodorum lindleyanum,Q15329331,seeds,reproductive,green_tissue,aboveground
V114141GP-01,Solanum erythracanthum,Q15535271,leaves,photosynthetic,green_tissue,aboveground
V114192GP-01,Uncarina grandidieri,Q3549194,green_stems,green_vegetative,green_tissue,aboveground
V114195GP-01,Laportea oligoloba,Q15610074,multiple,multiple,multiple,unkown
V114132GP-01,Sansevieria metallica,Q2222589,leaves,photosynthetic,green_tissue,aboveground
V114126GP-01,Rauvolfia media,Q14861848,bark,woody_vegetative,woody_tissue,aboveground
V114178GP-01,Tambourissa trichophylla,Q18075529,leaves,photosynthetic,green_tissue,aboveground
V114149GP-01,Solanum macrocarpon,Q7479565,green_stems,green_vegetative,green_tissue,aboveground
V114194GP-01,Laportea oligoloba,Q15610074,leaves,photosynthetic,green_tissue,aboveground
V114131GP-01,Salvadora angustifolia,Q15420085,green_stems,green_vegetative,green_tissue,aboveground
V114116GP-01,Psiadia altissima,Q3409947,multiple,roots,root_tissue,belowground
V114176GP-01,Tambourissa castri-delphinii,Q18075981,fruits,reproductive,green_tissue,aboveground
V114184GP-01,Turraea sericea,Q15526989,multiple,roots,root_tissue,belowground
V114143GP-01,Solanum melongena,Q7540,leaves,photosynthetic,green_tissue,aboveground
V114145GP-01,Solanum melongena,Q7540,multiple,roots,root_tissue,belowground
V114164GP-01,Strychnos decussata,Q13035119,green_stems,green_vegetative,green_tissue,aboveground
V114142GP-01,Solanum erythracanthum,Q15535271,green_stems,green_vegetative,green_tissue,aboveground
V114200GP-01,Vepris elliotii,Q15394888,green_stems,green_vegetative,green_tissue,aboveground
V114147GP-01,Solanum macrocarpon,Q7479565,leaves,photosynthetic,green_tissue,aboveground
V114174GP-01,Tambourissa castri-delphinii,Q18075981,bark,woody_vegetative,woody_tissue,aboveground
V114158GP-01,Stephanotis floribunda,Q1786657,multiple,roots,root_tissue,belowground
V114152GP-01,Stadmania acuminata,Q18073281,green_stems,green_vegetative,green_tissue,aboveground
V114165GP-01,Strychnos decussata,Q13035119,multiple,roots,root_tissue,belowground
V114135GP-01,Secamone ligustrifolia,Q18078946,leaves,photosynthetic,green_tissue,aboveground
V114169GP-01,Strychnos spinosa,Q2704877,leaves,photosynthetic,green_tissue,aboveground
V114151GP-01,Spermacoce verticillata,Q13635748,green_stems,green_vegetative,green_tissue,aboveground
V114139GP-01,Senecio antandroi,Q7450368,green_stems,green_vegetative,green_tissue,aboveground
V114118GP-01,Psiadia angustifolia,Q15600075,flowers,reproductive,green_tissue,aboveground
V114119GP-01,Psiadia angustifolia,Q15600075,multiple,roots,root_tissue,belowground
V114129GP-01,Salvadora angustifolia,Q15420085,leaves,photosynthetic,green_tissue,aboveground
V114136GP-01,Secamone ligustrifolia,Q18078946,multiple,roots,root_tissue,belowground
V114163GP-01,Strychnos decussata,Q13035119,fruits,reproductive,green_tissue,aboveground
V114187GP-01,Uncarina decaryi,Q17715860,leaves,photosynthetic,green_tissue,aboveground
V114173GP-01,Tambourissa amplifolia,Q15594269,leaves,photosynthetic,green_tissue,aboveground
V114186GP-01,Uncarina decaryi,Q17715860,bark,woody_vegetative,woody_tissue,aboveground
V114171GP-01,Strychnos spinosa,Q2704877,multiple,roots,root_tissue,belowground
V114138GP-01,Senecio antandroi,Q7450368,leaves,photosynthetic,green_tissue,aboveground
V114155GP-01,Stadmania oppositifolia,Q15529777,green_stems,green_vegetative,green_tissue,aboveground
V114148GP-01,Solanum macrocarpon,Q7479565,fruits,reproductive,green_tissue,aboveground
V114153GP-01,Stadmania oppositifolia,Q15529777,leaves,photosynthetic,green_tissue,aboveground
V114179GP-01,Vepris unifoliolata,Q15394929,leaves,photosynthetic,green_tissue,aboveground
V114146GP-01,Solanum melongena,Q7540,green_stems,green_vegetative,green_tissue,aboveground
V114181GP-01,Tridax procumbens,Q2717999,leaves,photosynthetic,green_tissue,aboveground
V114154GP-01,Stadmania oppositifolia,Q15529777,multiple,roots,root_tissue,belowground
V114189GP-01,Uncarina decaryi,Q17715860,green_stems,green_vegetative,green_tissue,aboveground
V114199GP-01,Vepris elliotii,Q15394888,leaves,photosynthetic,green_tissue,aboveground
V114122GP-01,Psiadia glutinosa,Q15599476,flowers,reproductive,green_tissue,aboveground
V114191GP-01,Uncarina grandidieri,Q3549194,fruits,reproductive,green_tissue,aboveground
V114121GP-01,Psiadia glutinosa,Q15599476,leaves,photosynthetic,green_tissue,aboveground
V114140GP-01,Sida rhombifolia,Q3595921,seeds,reproductive,green_tissue,aboveground
V114182GP-01,Turraea sericea,Q15526989,bark,woody_vegetative,woody_tissue,aboveground
V114201GP-01,Vepris lepidota,Q18079709,leaves,photosynthetic,green_tissue,aboveground
V114150GP-01,Spermacoce verticillata,Q13635748,seeds,reproductive,green_tissue,aboveground
V114113GP-01,Sclerocarya birrea,Q675778,bark,woody_vegetative,woody_tissue,aboveground
V114088GP-01,Paederia argentea,Q15482837,leaves,photosynthetic,green_tissue,aboveground
V114082GP-01,Operculicarya pachypus,Q18077030,green_stems,green_vegetative,green_tissue,aboveground
V114078GP-01,Operculicarya hyphaenoides,Q18076851,multiple,roots,root_tissue,belowground
V114038GP-01,Megistostegium nodulosum,Q15376789,leaves,photosynthetic,green_tissue,aboveground
V114022GP-01,Kalanchoe arborescens,Q310624,green_stems,green_vegetative,green_tissue,aboveground
V114023GP-01,Kalanchoe linearifolia,Q1721998,multiple,roots,root_tissue,belowground
V114108GP-01,Pluchea grevei,Q15445374,flowers,reproductive,green_tissue,aboveground
V114013GP-01,Jatropha mahafalensis,Q15393963,leaves,photosynthetic,green_tissue,aboveground
V114072GP-01,Obetia madagascariensis,Q15612115,multiple,multiple,multiple,unkown
V114079GP-01,Operculicarya pachypus,Q18077030,bark,woody_vegetative,woody_tissue,aboveground
V114099GP-01,Phyllanthus casticum,Q15450347,green_stems,green_vegetative,green_tissue,aboveground
V114021GP-01,Kalanchoe arborescens,Q310624,leaves,photosynthetic,green_tissue,aboveground
V114037GP-01,Megistostegium microphyllum,Q17580535,green_stems,green_vegetative,green_tissue,aboveground
V114007GP-01,Helmiopsis hily,Q15371571,leaves,photosynthetic,green_tissue,aboveground
V114009GP-01,Hibiscus ferrugineus,Q15372997,leaves,photosynthetic,green_tissue,aboveground
V114019GP-01,Jatropha multifida,Q2859740,multiple,roots,root_tissue,belowground
V114039GP-01,Megistostegium perrieri,Q17580534,leaves,photosynthetic,green_tissue,aboveground
V114092GP-01,Paederia farinosa,Q15481627,green_stems,green_vegetative,green_tissue,aboveground
V114075GP-01,Operculicarya decaryi,Q3067579,multiple,roots,root_tissue,belowground
V114012GP-01,Loeseneriella urceolus,Q15320027,leaves,photosynthetic,green_tissue,aboveground
V114087GP-01,Pachira aquatica,Q310500,leaves,photosynthetic,green_tissue,aboveground
V114104GP-01,Phyllarthron bernierianum,Q15551571,green_stems,green_vegetative,green_tissue,aboveground
V114112GP-01,Podocarpus madagascariensis,Q5410713,green_stems,green_vegetative,green_tissue,aboveground
V114073GP-01,Operculicarya decaryi,Q3067579,bark,woody_vegetative,woody_tissue,aboveground
V114109GP-01,Pluchea perrieri,,flowers,reproductive,green_tissue,aboveground
V114066GP-01,Nuxia coriacea,Q17759379,bark,woody_vegetative,woody_tissue,aboveground
V114020GP-01,Jatropha podagrica,Q5240151,multiple,roots,root_tissue,belowground
V114030GP-01,Maerua nuda,Q17246456,green_stems,green_vegetative,green_tissue,aboveground
V114015GP-01,Jatropha mahafalensis,Q15393963,multiple,roots,root_tissue,belowground
V114006GP-01,Tabernaemontana coffeoides,Q15376858,seeds,reproductive,green_tissue,aboveground
V114032GP-01,Malleastrum horokoke,Q18080263,green_stems,green_vegetative,green_tissue,aboveground
V114026GP-01,Maerua filiformis,Q17245045,leaves,photosynthetic,green_tissue,aboveground
V114005GP-01,Tabernaemontana coffeoides,Q15376858,leaves,photosynthetic,green_tissue,aboveground
V114071GP-01,Obetia madagascariensis,Q15612115,leaves,photosynthetic,green_tissue,aboveground
V114110GP-01,Plumbago aphylla,Q17247030,leaves,photosynthetic,green_tissue,aboveground
V114090GP-01,Paederia farinosa,Q15481627,leaves,photosynthetic,green_tissue,aboveground
V114029GP-01,Maerua nuda,Q17246456,multiple,roots,root_tissue,belowground
V114106GP-01,Plectaneia stenophylla,Q15372427,leaves,photosynthetic,green_tissue,aboveground
V114010GP-01,Hibiscus ferrugineus,Q15372997,flowers,reproductive,green_tissue,aboveground
V114076GP-01,Operculicarya decaryi,Q3067579,green_stems,green_vegetative,green_tissue,aboveground
V114070GP-01,Nymphaea nouchali,Q2663639,flowers,reproductive,green_tissue,aboveground
V114107GP-01,Pluchea grevei,Q15445374,leaves,photosynthetic,green_tissue,aboveground
V114080GP-01,Operculicarya pachypus,Q18077030,leaves,photosynthetic,green_tissue,aboveground
V114101GP-01,Phyllanthus niruri,Q2719836,multiple,multiple,multiple,unkown
V114074GP-01,Operculicarya decaryi,Q3067579,leaves,photosynthetic,green_tissue,aboveground
V114014GP-01,Jatropha mahafalensis,Q15393963,seeds,reproductive,green_tissue,aboveground
V114100GP-01,Phyllanthus niruri,Q2719836,multiple,multiple,multiple,unkown
V114024GP-01,Kalanchoe delagoensis,Q137831,leaves,photosynthetic,green_tissue,aboveground
V114031GP-01,Malleastrum horokoke,Q18080263,leaves,photosynthetic,green_tissue,aboveground
V114008GP-01,Helmiopsis hily,Q15371571,green_stems,green_vegetative,green_tissue,aboveground
V114091GP-01,Paederia farinosa,Q15481627,seeds,reproductive,green_tissue,aboveground
V114081GP-01,Operculicarya pachypus,Q18077030,multiple,roots,root_tissue,belowground
V114018GP-01,Jatropha multifida,Q2859740,leaves,photosynthetic,green_tissue,aboveground
V114103GP-01,Phyllarthron bernierianum,Q15551571,fruits,reproductive,green_tissue,aboveground
V114097GP-01,Phyllanthus casticum,Q15450347,multiple,roots,root_tissue,belowground
V114016GP-01,Jatropha mahafalensis,Q15393963,green_stems,green_vegetative,green_tissue,aboveground
V114017GP-01,Jatropha multifida,Q2859740,bark,woody_vegetative,woody_tissue,aboveground
V114033GP-01,Marsdenia verrucosa,Q18081906,leaves,photosynthetic,green_tissue,aboveground
V114065GP-01,Neobeguea mahafaliensis,Q104838416,multiple,roots,root_tissue,belowground
V114094GP-01,Passiflora foetida,Q1766333,fruits,reproductive,green_tissue,aboveground
V114077GP-01,Operculicarya hyphaenoides,Q18076851,leaves,photosynthetic,green_tissue,aboveground
V114025GP-01,Kalanchoe delagoensis,Q137831,multiple,roots,root_tissue,belowground
V114034GP-01,Marsdenia verrucosa,Q18081906,multiple,roots,root_tissue,belowground
V114093GP-01,Passiflora foetida,Q1766333,leaves,photosynthetic,green_tissue,aboveground
V114011GP-01,Hibiscus ferrugineus,Q15372997,green_stems,green_vegetative,green_tissue,aboveground
V114036GP-01,Megistostegium microphyllum,Q17580535,leaves,photosynthetic,green_tissue,aboveground
V114067GP-01,Nuxia coriacea,Q17759379,leaves,photosynthetic,green_tissue,aboveground
V114083GP-01,Opuntia ficus-indica,Q144412,leaves,photosynthetic,green_tissue,aboveground
V114069GP-01,Nymphaea nouchali,Q2663639,leaves,photosynthetic,green_tissue,aboveground
V114111GP-01,Podocarpus madagascariensis,Q5410713,leaves,photosynthetic,green_tissue,aboveground
V114027GP-01,Maerua filiformis,Q17245045,green_stems,green_vegetative,green_tissue,aboveground
V114035GP-01,Marsdenia verrucosa,Q18081906,green_stems,green_vegetative,green_tissue,aboveground
V114096GP-01,Phyllanthus casticum,Q15450347,leaves,photosynthetic,green_tissue,aboveground
V114068GP-01,Nuxia coriacea,Q17759379,green_stems,green_vegetative,green_tissue,aboveground
V114086GP-01,Pachira aquatica,Q310500,bark,woody_vegetative,woody_tissue,aboveground
V114028GP-01,Maerua nuda,Q17246456,leaves,photosynthetic,green_tissue,aboveground
V114105GP-01,Phyllarthron bojeranum,Q15551658,leaves,photosynthetic,green_tissue,aboveground
V114102GP-01,Phyllarthron bernierianum,Q15551571,leaves,photosynthetic,green_tissue,aboveground
V114098GP-01,Phyllanthus casticum,Q15450347,multiple,roots,root_tissue,belowground
V113960GP-01,Elegia microcarpa,Q17375210,leaves,photosynthetic,green_tissue,aboveground
V113962GP-01,Elegia microcarpa,Q17375210,seeds,reproductive,green_tissue,aboveground
V113921GP-01,Croton isomonensis,Q3004505,leaves,photosynthetic,green_tissue,aboveground
V113958GP-01,Ehretia cymosa,Q15587084,leaves,photosynthetic,green_tissue,aboveground
V113943GP-01,Datura stramonium,Q30959,leaves,photosynthetic,green_tissue,aboveground
V113985GP-01,Givotia madagascariensis,Q15390802,leaves,photosynthetic,green_tissue,aboveground
V113924GP-01,Croton mavoravina,Q3004702,leaves,photosynthetic,green_tissue,aboveground
V113915GP-01,Crotalaria laevigata,Q15449723,fruits,reproductive,green_tissue,aboveground
V113925GP-01,Croton mavoravina,Q3004702,multiple,roots,root_tissue,belowground
V113932GP-01,Cryptostegia madagascariensis,Q15397864,multiple,multiple,multiple,unkown
V113951GP-01,Dolichos fangitsa,Q15533384,leaves,photosynthetic,green_tissue,aboveground
V114003GP-01,Tabernaemontana coffeoides,Q15376858,leaves,photosynthetic,green_tissue,aboveground
V113918GP-01,Crotalaria retusa,Q10917487,flowers,reproductive,green_tissue,aboveground
V113927GP-01,Croton meridionalis,Q3004739,leaves,photosynthetic,green_tissue,aboveground
V113916GP-01,Crotalaria laevigata,Q15449723,green_stems,green_vegetative,green_tissue,aboveground
V113983GP-01,Flacourtia indica,Q621082,multiple,roots,root_tissue,belowground
V113988GP-01,Gladiolus dalenii,Q2109825,seeds,reproductive,green_tissue,aboveground
V113965GP-01,Euphorbia cedrorum,Q1338052,bark,woody_vegetative,woody_tissue,aboveground
V113940GP-01,Cyphostemma laza,Q15567048,multiple,roots,root_tissue,belowground
V113919GP-01,Crotalaria retusa,Q10917487,seeds,reproductive,green_tissue,aboveground
V114001GP-01,Halleria ligustrifolia,Q55865051,green_stems,green_vegetative,green_tissue,aboveground
V113941GP-01,Datura stramonium,Q30959,leaves,photosynthetic,green_tissue,aboveground
V113993GP-01,Grewia barorum,,leaves,photosynthetic,green_tissue,aboveground
V113931GP-01,Cryptostegia madagascariensis,Q15397864,fruits,reproductive,green_tissue,aboveground
V113950GP-01,Dolichos fangitsa,Q15533384,bark,woody_vegetative,woody_tissue,aboveground
V113939GP-01,Cyphostemma elephantopus,Q5795537,multiple,roots,root_tissue,belowground
V113937GP-01,Cyphostemma elephantopus,Q5795537,leaves,photosynthetic,green_tissue,aboveground
V113954GP-01,Dombeya greveana,Q17573819,leaves,photosynthetic,green_tissue,aboveground
V113917GP-01,Crotalaria retusa,Q10917487,leaves,photosynthetic,green_tissue,aboveground
V113980GP-01,Flacourtia indica,Q621082,bark,woody_vegetative,woody_tissue,aboveground
V113956GP-01,Dombeya lucida,Q15365819,leaves,photosynthetic,green_tissue,aboveground
V113946GP-01,Datura stramonium,Q30959,green_stems,green_vegetative,green_tissue,aboveground
V113981GP-01,Flacourtia indica,Q621082,leaves,photosynthetic,green_tissue,aboveground
V114000GP-01,Halleria ligustrifolia,Q55865051,leaves,photosynthetic,green_tissue,aboveground
V113990GP-01,Grevillea robusta,Q1989614,bark,woody_vegetative,woody_tissue,aboveground
V114002GP-01,Harungana madagascariensis,Q17566166,seeds,reproductive,green_tissue,aboveground
V113964GP-01,Eucalyptus robusta,Q3280527,fruits,reproductive,green_tissue,aboveground
V113952GP-01,Dolichos fangitsa,Q15533384,multiple,multiple,multiple,unkown
V113948GP-01,Dodonaea viscosa,Q58393,leaves,photosynthetic,green_tissue,aboveground
V113920GP-01,Crotalaria retusa,Q10917487,green_stems,green_vegetative,green_tissue,aboveground
V113978GP-01,Euonymus perrieri,Q161383,green_stems,green_vegetative,green_tissue,aboveground
V113926GP-01,Croton mavoravina,Q3004702,green_stems,green_vegetative,green_tissue,aboveground
V113992GP-01,Grewia barorum,,bark,woody_vegetative,woody_tissue,aboveground
V113942GP-01,Datura stramonium,Q30959,multiple,roots,root_tissue,belowground
V113996GP-01,Grewia microcyclea,Q15369486,leaves,photosynthetic,green_tissue,aboveground
V113923GP-01,Croton isomonensis,Q3004505,green_stems,green_vegetative,green_tissue,aboveground
V113945GP-01,Datura stramonium,Q30959,seeds,reproductive,green_tissue,aboveground
V113957GP-01,Ehretia angolensis,Q15588047,leaves,photosynthetic,green_tissue,aboveground
V113989GP-01,Gladiolus dalenii,Q2109825,multiple,roots,root_tissue,belowground
V113968GP-01,Euphorbia cedrorum,Q1338052,green_stems,green_vegetative,green_tissue,aboveground
V113959GP-01,Elegia microcarpa,Q17375210,bark,woody_vegetative,woody_tissue,aboveground
V113986GP-01,Givotia madagascariensis,Q15390802,multiple,roots,root_tissue,belowground
V113997GP-01,Grewia microcyclea,Q15369486,fruits,reproductive,green_tissue,aboveground
V113936GP-01,Cynanchum mahafalense,Q15397424,multiple,multiple,multiple,unkown
V113922GP-01,Croton isomonensis,Q3004505,multiple,roots,root_tissue,belowground
V113949GP-01,Dodonaea viscosa,Q58393,multiple,roots,root_tissue,belowground
V113982GP-01,Flacourtia indica,Q621082,seeds,reproductive,green_tissue,aboveground
V113984GP-01,Flacourtia indica,Q621082,green_stems,green_vegetative,green_tissue,aboveground
V113977GP-01,Euonymus perrieri,Q161383,leaves,photosynthetic,green_tissue,aboveground
V113929GP-01,Croton meridionalis,Q3004739,green_stems,green_vegetative,green_tissue,aboveground
V113938GP-01,Cyphostemma elephantopus,Q5795537,multiple,multiple,multiple,unkown
V113998GP-01,Gymnosporia linearis,Q15342070,leaves,photosynthetic,green_tissue,aboveground
V113979GP-01,Euonymus perrieri,Q161383,multiple,roots,root_tissue,belowground
V113933GP-01,Cryptostegia madagascariensis,Q15397864,multiple,roots,root_tissue,belowground
V113999GP-01,Gymnosporia linearis,Q15342070,multiple,roots,root_tissue,belowground
V113944GP-01,Datura stramonium,Q30959,fruits,reproductive,green_tissue,aboveground
V113963GP-01,Corymbia citriodora,Q2549523,fruits,reproductive,green_tissue,aboveground
V113934GP-01,Cryptostegia madagascariensis,Q15397864,green_stems,green_vegetative,green_tissue,aboveground
V113975GP-01,Euphorbia pervilleana,Q5851826,green_stems,green_vegetative,green_tissue,aboveground
V113928GP-01,Croton meridionalis,Q3004739,multiple,roots,root_tissue,belowground
V113995GP-01,Grewia barorum,,green_stems,green_vegetative,green_tissue,aboveground
V113972GP-01,Euphorbia alluaudii,Q1945608,multiple,roots,root_tissue,belowground
V113935GP-01,Cynanchum menarandrense,Q15398565,multiple,multiple,multiple,unkown
V113961GP-01,Elegia microcarpa,Q17375210,fruits,reproductive,green_tissue,aboveground
V113994GP-01,Grewia barorum,,multiple,roots,root_tissue,belowground
V113953GP-01,Dolichos fangitsa,Q15533384,green_stems,green_vegetative,green_tissue,aboveground
V113955GP-01,Dombeya greveana,Q17573819,green_stems,green_vegetative,green_tissue,aboveground
V113930GP-01,Cryptostegia madagascariensis,Q15397864,leaves,photosynthetic,green_tissue,aboveground
V113987GP-01,Givotia madagascariensis,Q15390802,green_stems,green_vegetative,green_tissue,aboveground
V114004GP-01,Tabernaemontana coffeoides,Q15376858,green_stems,green_vegetative,green_tissue,aboveground
V113913GP-01,Crotalaria grevei,Q15448078,green_stems,green_vegetative,green_tissue,aboveground
V113831GP-01,Adansonia za,Q131825,fruits,reproductive,green_tissue,aboveground
V113874GP-01,Senna meridionalis,Q15536837,green_stems,green_vegetative,green_tissue,aboveground
V113883GP-01,Cerbera manghas,Q714955,bark,woody_vegetative,woody_tissue,aboveground
V113900GP-01,Commiphora brevicalyx,Q15543369,green_stems,green_vegetative,green_tissue,aboveground
V113896GP-01,Commiphora aprevalii,Q15543759,leaves,photosynthetic,green_tissue,aboveground
V113905GP-01,Commiphora monstruosa,Q15543685,bark,woody_vegetative,woody_tissue,aboveground
V113860GP-01,Buddleja madagascariensis,Q2265513,leaves,photosynthetic,green_tissue,aboveground
V113863GP-01,Cajanus cajan,Q632559,seeds,reproductive,green_tissue,aboveground
V113910GP-01,Crinum firmifolium,Q15506651,multiple,multiple,multiple,unkown
V113851GP-01,Artocarpus altilis,Q14677,green_stems,green_vegetative,green_tissue,aboveground
V113908GP-01,Commiphora simplicifolia,Q15544401,leaves,photosynthetic,green_tissue,aboveground
V113892GP-01,Combretum grandidieri,Q43373450,leaves,photosynthetic,green_tissue,aboveground
V113850GP-01,Artocarpus altilis,Q14677,fruits,reproductive,green_tissue,aboveground
V113902GP-01,Commiphora lamii,Q15543859,bark,woody_vegetative,woody_tissue,aboveground
V113859GP-01,Buddleja madagascariensis,Q2265513,bark,woody_vegetative,woody_tissue,aboveground
V113878GP-01,Cedrelopsis grevei,Q1052593,bark,woody_vegetative,woody_tissue,aboveground
V113873GP-01,Senna meridionalis,Q15536837,leaves,photosynthetic,green_tissue,aboveground
V113909GP-01,Commiphora simplicifolia,Q15544401,green_stems,green_vegetative,green_tissue,aboveground
V113893GP-01,Combretum grandidieri,Q43373450,multiple,roots,root_tissue,belowground
V113862GP-01,Cadaba virgata,Q15542970,leaves,photosynthetic,green_tissue,aboveground
V113848GP-01,Argemone mexicana,Q683404,multiple,roots,root_tissue,belowground
V113829GP-01,Adansonia za,Q131825,leaves,photosynthetic,green_tissue,aboveground
V113884GP-01,Cerbera manghas,Q714955,leaves,photosynthetic,green_tissue,aboveground
V113858GP-01,Buddleja madagascariensis,Q2265513,bark,woody_vegetative,woody_tissue,aboveground
V113852GP-01,Artocarpus integer,Q1053368,bark,woody_vegetative,woody_tissue,aboveground
V113826GP-01,Adansonia rubrostipa,Q137274,flowers,reproductive,green_tissue,aboveground
V113825GP-01,Adansonia rubrostipa,Q137274,leaves,photosynthetic,green_tissue,aboveground
V113882GP-01,Breonadia salicina,Q4961812,green_stems,green_vegetative,green_tissue,aboveground
V113881GP-01,Breonadia salicina,Q4961812,seeds,reproductive,green_tissue,aboveground
V113888GP-01,Cerbera manghas,Q714955,fruits,reproductive,green_tissue,aboveground
V113875GP-01,Senna meridionalis,Q15536837,green_stems,green_vegetative,green_tissue,aboveground
V113877GP-01,Senna viguierella,Q15537819,flowers,reproductive,green_tissue,aboveground
V113890GP-01,Chadsia grevei,Q15528494,bark,woody_vegetative,woody_tissue,aboveground
V113867GP-01,Capitanopsis angustifolia,Q15350087,bark,woody_vegetative,woody_tissue,aboveground
V113827GP-01,Adansonia rubrostipa,Q137274,fruits,reproductive,green_tissue,aboveground
V113911GP-01,Crotalaria fiherenensis,Q15448147,multiple,roots,root_tissue,belowground
V113855GP-01,Astrotrichilia valiandra,Q15539188,multiple,roots,root_tissue,belowground
V113824GP-01,Adansonia rubrostipa,Q137274,bark,woody_vegetative,woody_tissue,aboveground
V113868GP-01,Capitanopsis angustifolia,Q15350087,leaves,photosynthetic,green_tissue,aboveground
V113866GP-01,Viguieranthus alternans,Q14554262,green_stems,green_vegetative,green_tissue,aboveground
V113899GP-01,Commiphora brevicalyx,Q15543369,leaves,photosynthetic,green_tissue,aboveground
V113830GP-01,Adansonia za,Q131825,leaves,photosynthetic,green_tissue,aboveground
V113897GP-01,Commiphora brevicalyx,Q15543369,bark,woody_vegetative,woody_tissue,aboveground
V113832GP-01,Adenia monadelpha,Q15606585,green_stems,green_vegetative,green_tissue,aboveground
V113907GP-01,Commiphora monstruosa,Q15543685,green_stems,green_vegetative,green_tissue,aboveground
V113861GP-01,Buddleja madagascariensis,Q2265513,green_stems,green_vegetative,green_tissue,aboveground
V113870GP-01,Capitanopsis cloiselii,Q15350162,flowers,reproductive,green_tissue,aboveground
V113880GP-01,Cedrelopsis grevei,Q1052593,green_stems,green_vegetative,green_tissue,aboveground
V113823GP-01,Acalypha decaryana,Q9573579,multiple,roots,root_tissue,belowground
V113833GP-01,Adenia olaboensis,Q15606913,bark,woody_vegetative,woody_tissue,aboveground
V113879GP-01,Cedrelopsis grevei,Q1052593,leaves,photosynthetic,green_tissue,aboveground
V113864GP-01,Cajanus cajan,Q632559,green_stems,green_vegetative,green_tissue,aboveground
V113854GP-01,Astrotrichilia valiandra,Q15539188,leaves,photosynthetic,green_tissue,aboveground
V113876GP-01,Senna meridionalis,Q15536837,green_stems,green_vegetative,green_tissue,aboveground
V113834GP-01,Adenia olaboensis,Q15606913,green_stems,green_vegetative,green_tissue,aboveground
V113847GP-01,Argemone mexicana,Q683404,fruits,reproductive,green_tissue,aboveground
V113869GP-01,Capitanopsis cloiselii,Q15350162,bark,woody_vegetative,woody_tissue,aboveground
